Appareil,22/06/2026 - 28/06/2026 Clics,15/06/2026 - 21/06/2026 Clics,22/06/2026 - 28/06/2026 Impressions,15/06/2026 - 21/06/2026 Impressions,22/06/2026 - 28/06/2026 CTR,15/06/2026 - 21/06/2026 CTR,22/06/2026 - 28/06/2026 Position,15/06/2026 - 21/06/2026 Position
Mobile,1,0,415,0,0.24%,0%,8.84,0
Ordinateur,0,0,129,0,0%,0%,8.48,0
Tablette,0,0,3,0,0%,0%,9,0
