Pays,22/06/2026 - 28/06/2026 Clics,15/06/2026 - 21/06/2026 Clics,22/06/2026 - 28/06/2026 Impressions,15/06/2026 - 21/06/2026 Impressions,22/06/2026 - 28/06/2026 CTR,15/06/2026 - 21/06/2026 CTR,22/06/2026 - 28/06/2026 Position,15/06/2026 - 21/06/2026 Position
France,1,0,7,0,14.29%,0%,10.43,0
République démocratique du Congo,0,0,537,0,0%,0%,8.73,0
Belgique,0,0,1,0,0%,0%,9,0
Congo-Brazzaville,0,0,1,0,0%,0%,9,0
Pays-Bas,0,0,1,0,0%,0%,10,0
